subset_idx,scene_token,frame_idx,scene_frame_label,sample_token
29,0221,136,scene-0221-frame-0136,401e116db07d471ab405b837895e7b7f
30,0221,146,scene-0221-frame-0146,001babaed2e14c31b6db9eb4c7f0c173
31,0221,156,scene-0221-frame-0156,02ac3470b5d9414890b7f67bcc42c533
32,0222,0,scene-0222-frame-0000,6bc5f64d37d648d09f09831f58ccb67d
33,0222,10,scene-0222-frame-0010,e1337586cb5d43ea94f8b18cfac222b9
34,0222,20,scene-0222-frame-0020,77d546fd984747ff87d261d38398e25f
35,0222,32,scene-0222-frame-0032,5c586e0f5226415290d42f379d7f0481
36,0222,42,scene-0222-frame-0042,2c90941d732844dd81d9fa02779e7f7a
37,0222,52,scene-0222-frame-0052,d84fb7f4b9824dd5bfa2575d010ee797
38,0222,62,scene-0222-frame-0062,e86b429783e54f1aad737ad8d5c33fcd
39,0222,72,scene-0222-frame-0072,8c91400794e649c9b2bd201fe4b58ac7
40,0222,84,scene-0222-frame-0084,4763cfb877374e43a345a44bc97d8ff6
41,0222,94,scene-0222-frame-0094,b691c8a331bf4cefbf000ff922240dac
42,0222,104,scene-0222-frame-0104,133a6eae794548d995276af258cf228d
43,0222,114,scene-0222-frame-0114,5749115d2dff4e99817c5d5ed291b910
44,0222,124,scene-0222-frame-0124,3cca84222044404ca025644786415b60
45,0222,136,scene-0222-frame-0136,589abe2d2bd645beab945930020f16c5
46,0222,146,scene-0222-frame-0146,7b8ea7a247a2473bb8fd9b007d4b8624
47,0222,156,scene-0222-frame-0156,222fb435b6cc455292b61234d7934752
48,0223,0,scene-0223-frame-0000,5e9504b387f94554af7296e58878da1f
49,0223,10,scene-0223-frame-0010,061008413a5a4eaa8ea63a2e8fccb4a3
50,0223,20,scene-0223-frame-0020,65ab96ef294f4a3f80b69517a8852e5f
51,0223,32,scene-0223-frame-0032,44ce364bd136408ca01c94767569f7c0
52,0223,42,scene-0223-frame-0042,9178740108de429498a84acabfa40fb4
53,0223,52,scene-0223-frame-0052,84ef6f4be1e74a6daf772e9fd31f15cf
54,0223,62,scene-0223-frame-0062,8b71f4a9e5b344b7943348489201c4a0
55,0223,72,scene-0223-frame-0072,9e305a46fd7645bda7aca44b810005dc
56,0223,84,scene-0223-frame-0084,5b79679d552440ce8871ce92a3459f57
57,0223,94,scene-0223-frame-0094,5a749fd24b9143e4a7603041421f4842
58,0223,104,scene-0223-frame-0104,be0b2acfaa534dedb8277b363fd74217
59,0223,114,scene-0223-frame-0114,b38f49cfeb7f4518addbe26532bba39d
60,0223,124,scene-0223-frame-0124,5fcbe916de7942489713b5df041cb8ae
61,0223,136,scene-0223-frame-0136,c588194f74f242879773a7602fd2722c
62,0223,146,scene-0223-frame-0146,459ac9d1438c48bd93a59691a34c7527
63,0223,156,scene-0223-frame-0156,f6c23977bad24ee78c1ef4915b86a459
64,0224,0,scene-0224-frame-0000,207d7e359e8942e188c559046ac84854
65,0224,10,scene-0224-frame-0010,ab98a4ac6103465e8618d06d4001c48c
66,0224,20,scene-0224-frame-0020,a9ae8afdd0954b459fa5b5bb1294367f
67,0224,32,scene-0224-frame-0032,6c89ba840a2d4efea5d1beef496d3c6d
68,0224,42,scene-0224-frame-0042,60f6e667ade7484ca94d6fa595cd4a6d
69,0224,52,scene-0224-frame-0052,d865f748fcd54031a37edfa842478c6a
70,0224,62,scene-0224-frame-0062,347975991e634e249d077d6e7f064430
71,0224,72,scene-0224-frame-0072,52d7f411b3714c2fb782b31cc3e17ab8
72,0224,84,scene-0224-frame-0084,eb775e647756417b923f30992dd41130
73,0224,94,scene-0224-frame-0094,04bd69c3bbbd43fcb3e7f6e5979345da
74,0224,104,scene-0224-frame-0104,844e900a3750483a8e2fc64b9eb85647
75,0224,114,scene-0224-frame-0114,4324c6b1bcca4b4cb9210b74a6ace9f8
76,0224,124,scene-0224-frame-0124,9906798a082348c394b73536769c87e0
77,0224,136,scene-0224-frame-0136,e627c729f8a0481fab5eb5da40e8ad07
78,0224,146,scene-0224-frame-0146,10c40adb6410468599f7fd8499367d07
79,0224,156,scene-0224-frame-0156,f61dd73627ca48c38c8340f939f114b0
80,0225,0,scene-0225-frame-0000,808f431c91fb4c42ac2b119e7ed7cdfb
81,0225,10,scene-0225-frame-0010,8a9cb06b6cbd4024a51822551fac5841
82,0225,20,scene-0225-frame-0020,3e9ba09a6bdc458893d9f947a4a71611
83,0225,32,scene-0225-frame-0032,f874c563650b403dbf1b57856ac80692
84,0225,42,scene-0225-frame-0042,eb0fee199f7c41c8b3d48038a1c172be
85,0225,52,scene-0225-frame-0052,f03413191c51448895d7835e540b8ef4
86,0225,62,scene-0225-frame-0062,9e423c77ef734dca9ab516a831a847a2
87,0225,72,scene-0225-frame-0072,df4609e717254768ba8b713dc20ff71d
88,0225,84,scene-0225-frame-0084,343e6ddd43ff4d489d9608908a441b12
89,0225,94,scene-0225-frame-0094,747791f800024aa7b9b4d4232b75e67c
90,0225,104,scene-0225-frame-0104,fc9049ca792c4a7793ec213f29a5f810
91,0225,114,scene-0225-frame-0114,03466f85853a4d5599462307a6e6759d
92,0225,124,scene-0225-frame-0124,c9d097839711452eb2065a47c44972c2
93,0225,136,scene-0225-frame-0136,7d8d8186b131401894d40e2e31c9e495
94,0225,146,scene-0225-frame-0146,8e491043876b4042bff9d18f3ccf7344
95,0225,156,scene-0225-frame-0156,c15873db19dc4f05a0e510eda17306e0
96,0226,0,scene-0226-frame-0000,d82ddbc336844b6cb161fbb801f1ee68
97,0226,10,scene-0226-frame-0010,6c20cf006b424c3d9024354e5560c8b1
98,0226,20,scene-0226-frame-0020,31bef9bf2c8f44daa67e235ef4b5b56a
99,0226,32,scene-0226-frame-0032,e43bec2b9e434952be99aa65da1f3aa5
100,0226,42,scene-0226-frame-0042,c36ad7b38a0b48eeafc960e56ffecdc1
101,0226,52,scene-0226-frame-0052,2620bc50f06c4b6ca8a98d7eab30affd
102,0226,62,scene-0226-frame-0062,b84449b8db5b47ffae911021b5069b4a
103,0226,72,scene-0226-frame-0072,bd33ba9ef15e4aba98aeba941b82a06f
104,0226,84,scene-0226-frame-0084,380361a30624405b94f39c1f95fafbed
105,0226,94,scene-0226-frame-0094,547be052bc774214b602aba3fb7cc851
106,0226,104,scene-0226-frame-0104,25b4415e006f4189be28ce3065a6155a
107,0226,114,scene-0226-frame-0114,0e3ba774a5824ef1b4c7f45703dc26c1
108,0226,124,scene-0226-frame-0124,31167fa1296343599feb5688198719dc
109,0226,136,scene-0226-frame-0136,a6429cd8f04b4db699f44d192c6dfd73
110,0226,146,scene-0226-frame-0146,8f5b69ca244442f595a619c12409318d
111,0226,156,scene-0226-frame-0156,523a724429914a0e92eae48ee4d66462
112,0227,0,scene-0227-frame-0000,21e80539cbb24ac0a33927e4edd7c4d4
113,0227,10,scene-0227-frame-0010,bf822e2f81804c8b943596948b83e2e8
114,0227,20,scene-0227-frame-0020,3b318ed9fe1c46889d0dde50bec5640b
115,0227,32,scene-0227-frame-0032,2b661b1928b94671abf3c75ad862df8e
116,0227,42,scene-0227-frame-0042,e53c352a7a874bfe8d61a2ad1732eedb
117,0227,52,scene-0227-frame-0052,c91c9e7870e64498ae401515b4889c3f
118,0227,62,scene-0227-frame-0062,6b7392cdace64a248bf92e86c51eda02
119,0227,72,scene-0227-frame-0072,3b9712369c1a42c0a113f1b4ee5d205b
120,0227,84,scene-0227-frame-0084,e8da05523c8a4b4aab2cffac5238eb6d
121,0227,94,scene-0227-frame-0094,47642168ede04a3ab98d7d80cd67400b
122,0227,104,scene-0227-frame-0104,140f777558c24427ae18a216e7303df6
123,0227,114,scene-0227-frame-0114,833d2e658f634b60a600a5df74a089c8
124,0227,124,scene-0227-frame-0124,609fa54d7d0548b4941bb7048bcb8b7a
125,0227,136,scene-0227-frame-0136,b1ab91c1865f4fb9a60d9d9c0850739f
126,0227,146,scene-0227-frame-0146,529346035c35409ab19736cb4836be8f
127,0227,156,scene-0227-frame-0156,1c635eb671784e3c84c589a350a940ea
128,0228,0,scene-0228-frame-0000,dd2e9634cd9e4e11b628e831b43a6a0a
129,0228,10,scene-0228-frame-0010,07b0b158c1aa47c5a193b5ff42607925
130,0228,20,scene-0228-frame-0020,83e9b3722d43434c8123b2f5e6f13b4c
131,0228,32,scene-0228-frame-0032,59569ddce52448169f03fa2dc6c86d37
132,0228,42,scene-0228-frame-0042,9d85ef31fae24632a8528a681cc9677d
133,0228,52,scene-0228-frame-0052,cfe051d6a96d46938eaddb188d5e1d49
134,0228,62,scene-0228-frame-0062,2a74b2f592de4715a473b328b3f80ce8
135,0228,72,scene-0228-frame-0072,391071914b274136b1adbb9506415d00
136,0228,84,scene-0228-frame-0084,e8fcc2b5efac4b47a56433b88c5182d5
137,0228,94,scene-0228-frame-0094,ee159b95eac340c4a29b84681b6b1884
138,0228,104,scene-0228-frame-0104,2fb1af30dffa467e9ffd49dff36ac364
139,0228,114,scene-0228-frame-0114,513d9533016d446a8ce75c4ed01a6395
140,0228,124,scene-0228-frame-0124,99ad150801244342a1d3a657d0cc432a
141,0228,136,scene-0228-frame-0136,8e04ea72f82549a2b1b54d5ef3880d0a
142,0228,146,scene-0228-frame-0146,c29b9971286140dd8bfeecdc6140cd52
143,0228,156,scene-0228-frame-0156,81ee6a06602948fabe81ef8cce2c798c
144,0229,0,scene-0229-frame-0000,76edd7e7394744d59d8eb1affd2bb89f
145,0229,10,scene-0229-frame-0010,338ca7dc1069478bb054a5ed0a930e53
146,0229,20,scene-0229-frame-0020,20dcfb17bcd148d098df994bcabf7f4a
147,0229,32,scene-0229-frame-0032,d85eb797097d43a3a7211b17ecb3aa72
148,0229,42,scene-0229-frame-0042,07fee30ebfc14ccb87de00550f660146
149,0229,52,scene-0229-frame-0052,039da1fd832d46d3879b4945edbb4841
150,0229,62,scene-0229-frame-0062,37afe2892a5844afb20c821f42e2be22
151,0229,72,scene-0229-frame-0072,bd7fb223025d466ea65d216bc34f2a1b
152,0229,84,scene-0229-frame-0084,05458600178742cb91cf283a878e199b
153,0229,94,scene-0229-frame-0094,621cd4ed11934a21beb505c46148980b
154,0229,104,scene-0229-frame-0104,5bf63353bfa84983a6f1b5e408b8e8ae
155,0229,114,scene-0229-frame-0114,b4e89c057a8f40f58ce496ec33d402b5
156,0229,124,scene-0229-frame-0124,de7ec73fb45445f7aff277da66343535
157,0229,136,scene-0229-frame-0136,e52aa11ce66a4574b5e695b2a4483692
158,0229,146,scene-0229-frame-0146,2311b11eda504d9082984ffc1133391f
159,0229,156,scene-0229-frame-0156,86a83f04b9484b44a8cff4a35076f70e
160,0230,0,scene-0230-frame-0000,d363efaf914547138e9020b4a921de96
161,0230,10,scene-0230-frame-0010,c44cb070f72a4a8bb1aacbd896d31f66
162,0230,20,scene-0230-frame-0020,a5ff353fe7c4446d99d26faadb5e6ed6
163,0230,32,scene-0230-frame-0032,6be0e3c42c1f4f92bb1bb3ba38fac12f
164,0230,42,scene-0230-frame-0042,b9007ad9be4448cc8e4cec5e338635f9
165,0230,52,scene-0230-frame-0052,d947df679a544468b0c2bbd161b25dd0
166,0230,62,scene-0230-frame-0062,86b64d28f59842a7b84e3f05c9e41550
167,0230,72,scene-0230-frame-0072,f17d7b13f7c64e9f990d6c6cfb01f16a
168,0230,84,scene-0230-frame-0084,071283712e8048aa9f96ab62d6211b8b
169,0230,94,scene-0230-frame-0094,358c428dce75483cab2c28a18f51d36e
170,0230,104,scene-0230-frame-0104,0d7ade8d7d5f4aa69d50ea30bbb95589
171,0230,114,scene-0230-frame-0114,295bf760b019438f93fbef8059931bc8
172,0230,124,scene-0230-frame-0124,62a3051599564157834af834ac4aa35b
173,0230,136,scene-0230-frame-0136,2e5b1d9730d14a40841735052bfe82c5
174,0230,146,scene-0230-frame-0146,13bae03d9b614e38aef0f6693bb6ebd1
175,0230,156,scene-0230-frame-0156,3f98dc4f7d2247349e9e164367f56dfa
176,0231,0,scene-0231-frame-0000,805015132dc045ac9b73c8b4fccaae47
177,0231,10,scene-0231-frame-0010,0d5dbcdd746b4c8c9b03ff558860dc9e
178,0231,20,scene-0231-frame-0020,e861363802d44c3786c06a8e01ef242b
179,0231,32,scene-0231-frame-0032,6d1605133c5a4ec8b00be7c4470d2a88
180,0231,42,scene-0231-frame-0042,ae39efb3002b469c92234c867dd0aa7c
181,0231,52,scene-0231-frame-0052,100d764cb12340afa26aae4e26ec49f1
182,0231,62,scene-0231-frame-0062,f31c7f48d28944218cc14969ae6a43cc
183,0231,72,scene-0231-frame-0072,9368870f93054752a9352fe549972f5b
184,0231,84,scene-0231-frame-0084,3739e4c6a5bf417cba0fb06d93ef4162
185,0231,94,scene-0231-frame-0094,9d1e7aebb19749e3a8c3a6c3823d39ea
186,0231,104,scene-0231-frame-0104,77e2eeaa634147e084102ac7c77d87a2
187,0231,114,scene-0231-frame-0114,b10eb5aaca8e4e36b0ada1fa3b2b32ca
188,0231,124,scene-0231-frame-0124,3222af27e7324a4fb82c5b02a2e3629d
189,0231,136,scene-0231-frame-0136,5978a2c6728b41de866a5d04fde1f1d8
190,0231,146,scene-0231-frame-0146,8459e89d5d1d4639ae32f7276c109597
191,0231,156,scene-0231-frame-0156,a3d599f85ac8413d8da756df1b437c17
192,0232,0,scene-0232-frame-0000,8585cc12eae547a2b064cbd0e9c92835
193,0232,10,scene-0232-frame-0010,75eaf50057e84d87b7500b2a91515799
194,0232,20,scene-0232-frame-0020,53927ef45367425ab4d7d75c38d9d791
195,0232,32,scene-0232-frame-0032,2b7b249a92554057b2a93645fbcb44fa
196,0232,42,scene-0232-frame-0042,a691e56a0e554dabb868e8a37f167310
197,0232,52,scene-0232-frame-0052,547b62e19c264083b7668f4fc7fc1ec6
198,0232,62,scene-0232-frame-0062,7f33f265545c460ba9b70c6762b453a7
199,0232,72,scene-0232-frame-0072,202c0e1f8839406c929535cf84983f72
200,0232,84,scene-0232-frame-0084,72ac8021846f4582a0999513917e9612
201,0232,94,scene-0232-frame-0094,b1b4ecf2c79e406b94e71b0e3f06aa83
202,0232,104,scene-0232-frame-0104,0f2ac942ac894251b91e5f1a8c3eedad
203,0232,114,scene-0232-frame-0114,b2532e37068a43a88bf26532e7635fa4
204,0232,124,scene-0232-frame-0124,6b171ee5ee59485b85ccbf5401c9c9c8
205,0232,136,scene-0232-frame-0136,c1f0bcd645b14b4eb89ccb65247f0e71
206,0232,146,scene-0232-frame-0146,299a24c6a43c408782947f4246c2f028
207,0232,156,scene-0232-frame-0156,1340beb752ca48248ff7b0896c124fbc
208,0233,0,scene-0233-frame-0000,5d238670047e4ab59ea0977ddfa922ce
209,0233,10,scene-0233-frame-0010,62b923afc436431f8d3ea6ec690b6429
210,0233,20,scene-0233-frame-0020,61ed3e65513b4a2da2afbf499a16c37b
211,0233,32,scene-0233-frame-0032,9cc50519968443ffb4722a9dcdca2bcc
212,0233,42,scene-0233-frame-0042,377be1b1a6074c6e85289fd236cc280c
213,0233,52,scene-0233-frame-0052,74bd734900334b00939605f733c26ae1
214,0233,62,scene-0233-frame-0062,3840923c95ea4d4088c20382f0911790
215,0233,72,scene-0233-frame-0072,0a7de716f903429f9ecaaed0e8e7af91
216,0233,84,scene-0233-frame-0084,f2f3e63f54b4407bac0c854da0e5a935
217,0233,94,scene-0233-frame-0094,d9890f0f76aa4244add38446af50a549
218,0233,104,scene-0233-frame-0104,7b03e11ecdbe4aabab5998b4f6bbda47
219,0233,114,scene-0233-frame-0114,6db43f48b4e74d1796258b5079df2adc
220,0233,124,scene-0233-frame-0124,bef4b9fa2a304e4a9fe205ac693887f2
221,0233,136,scene-0233-frame-0136,e0b0ca4d600445b5ad04bc85519779aa
222,0233,146,scene-0233-frame-0146,09422e3ecec146e1abd0de5c68894c86
223,0233,156,scene-0233-frame-0156,f7914617780048fc9196ae51f5c1455a
224,0234,0,scene-0234-frame-0000,8749df37b9ef4f4d8c430ddc055b6338
225,0234,10,scene-0234-frame-0010,49f2c4e63e114592900cd8d120a92986
226,0234,20,scene-0234-frame-0020,2b419506fbfd418dadf021c343cfc6f1
227,0234,32,scene-0234-frame-0032,694c1b571bf240f99914e772197f2490
228,0234,42,scene-0234-frame-0042,680ce106fb2341c491d19de40c3da27f
229,0234,52,scene-0234-frame-0052,c2202a2d69ab49a288d87ad73224590b
230,0234,62,scene-0234-frame-0062,bf00ec89ab764123b94713775e95e1c0
231,0234,72,scene-0234-frame-0072,af55457140764a78a404224dc7d7c91b
232,0234,84,scene-0234-frame-0084,8b535ecb2fff474394f3dfdc3f02576b
233,0234,94,scene-0234-frame-0094,f6f394d6d242445e88078df8480deb3d
234,0234,104,scene-0234-frame-0104,92b455e8b82a466c8922838762b25815
235,0234,114,scene-0234-frame-0114,aa04a89ad9294e65bba819af6842117a
236,0234,124,scene-0234-frame-0124,f0a21b0580244e99957799ef1ef50a6b
237,0234,136,scene-0234-frame-0136,78c534a3b5304c75939e7cae2a344c62
238,0234,146,scene-0234-frame-0146,65ea531e537149b08c034d0b290dd455
239,0234,156,scene-0234-frame-0156,839652c5b0b24c3f80b3f15f1df98b1d
240,0235,0,scene-0235-frame-0000,e16da687db804b70b8a8bea06ec29d4b
241,0235,10,scene-0235-frame-0010,5fafe9e1d02044deaa262313c4ed2e1b
242,0235,20,scene-0235-frame-0020,3163c707a3f34888b72368106f5c8d93
243,0235,32,scene-0235-frame-0032,dd8ac7fa7c4445398a9b645202c93df9
244,0235,42,scene-0235-frame-0042,5e3bf37b1a044726abe07ac8bdd72517
245,0235,52,scene-0235-frame-0052,8fb9074a238c4f58bc13eb532bf122be
246,0235,62,scene-0235-frame-0062,5cec8e0bdf184b7aba3815ef1504058b
247,0235,72,scene-0235-frame-0072,5671c08da749499282ad0104e4d976b3
248,0235,84,scene-0235-frame-0084,021eab1fb4944104adadb0968ebb1702
249,0235,94,scene-0235-frame-0094,d5c2131fb61b4d7c965c6f67579d7379
250,0235,104,scene-0235-frame-0104,9c245ed475dd4fbba1951a8b8431beaf
251,0235,114,scene-0235-frame-0114,97c60a1252e44f49b8f09774ee1407cc
252,0235,124,scene-0235-frame-0124,6e291b6e35e94bb89dee2da3b0259cbf
253,0235,136,scene-0235-frame-0136,a724f326467a48e7bff686605172a652
254,0235,146,scene-0235-frame-0146,3b81cc29a9064e4692024f8dc8be42b5
255,0235,156,scene-0235-frame-0156,55987a7bf93b4fbc874313c7b43cd753
256,0236,0,scene-0236-frame-0000,40cbae8c19fd4fd28c004e8ab550dd8c
257,0236,10,scene-0236-frame-0010,c3e9f0024e0442aa8214457f6963fa42
258,0236,20,scene-0236-frame-0020,e2ad311624d64180ab9e09bce1f175c3
259,0236,32,scene-0236-frame-0032,6e067299d55d4178b3c45bd19ef326c6
260,0236,42,scene-0236-frame-0042,75151a033bc24c36bd42ef7a899ed614
261,0236,52,scene-0236-frame-0052,67f0a5d49baf4316ac8d3a963b6cac09
262,0236,62,scene-0236-frame-0062,84e222a890674f3caa47715bfbc15ae3
263,0236,72,scene-0236-frame-0072,b7ab58a0d4f242ce8bfc583aa9e20033
264,0236,84,scene-0236-frame-0084,7d85360d9a5f46dcbf01e4dd5bb8e799
265,0236,94,scene-0236-frame-0094,09b73128ec304f9285c07c59b52c2d29
266,0236,104,scene-0236-frame-0104,b565b459a998449ab5783659558cf070
267,0236,114,scene-0236-frame-0114,4983548474784b919e82f1b334a62e33
268,0236,124,scene-0236-frame-0124,ff19fe7c608c479386af1f2a683fb5f2
269,0236,136,scene-0236-frame-0136,09552d892d7a457695fee00e4907704a
270,0236,146,scene-0236-frame-0146,02a6565a31604d01bc9ff009f9282c35
271,0236,156,scene-0236-frame-0156,3d065e8259fb43d4a91fef00525df8bd
272,0237,0,scene-0237-frame-0000,fd3ccd170c6a4b54bc01f16e756e42c8
273,0237,10,scene-0237-frame-0010,72087520bba341b89c696f83c163f0ab
274,0237,20,scene-0237-frame-0020,76104bb7d11e497dbc49ea1b3781737c
275,0237,32,scene-0237-frame-0032,9cc5f3edc46f4b63950693d9027615fb
276,0237,42,scene-0237-frame-0042,48899cdf7a8c437fbd82a426bf0e7405
277,0237,52,scene-0237-frame-0052,e318801355254c628244b83252fb53eb
278,0237,62,scene-0237-frame-0062,5c49e5eb00b443a69d9e5615b87e5f8d
279,0237,72,scene-0237-frame-0072,0e984680f94c41d3885b98aeae9e9b13
280,0237,84,scene-0237-frame-0084,e5e52a975eba4510a0ba52101ed88bdc
281,0237,94,scene-0237-frame-0094,3a1e4bdb8a7d44ad9f8d1ff5fdb7aeb7
282,0237,104,scene-0237-frame-0104,c35c9a3d62f249c5b835bbe75992a0c9
283,0237,114,scene-0237-frame-0114,5df916af7b544cea829d3e8c87f9f2cc
284,0237,124,scene-0237-frame-0124,45bd32a12e884e0f9d353d35917d987d
285,0237,136,scene-0237-frame-0136,bbfbc11dad9d41f78feee8c5debd2756
286,0237,146,scene-0237-frame-0146,2284e7441523465f8fd4b9288c2f5076
287,0237,156,scene-0237-frame-0156,5d1bd84714444ff8b98cc8fe4a6c0f4a
288,0238,0,scene-0238-frame-0000,ce9cad7e72f44597bf78c18878df63c4
289,0238,10,scene-0238-frame-0010,fe2562a17def45bf88acdb910927217b
290,0238,20,scene-0238-frame-0020,bd8e5c72f858416588320d93580e4c25
291,0238,32,scene-0238-frame-0032,fa5bec5fc154416193a996599916cdcd
292,0238,42,scene-0238-frame-0042,1eb752ee1fbd4d899153fb21ef837b45
293,0238,52,scene-0238-frame-0052,b82303564f524eeea96db634ff0d4c8a
294,0238,62,scene-0238-frame-0062,380d45db47af468d8df7edf87284dab0
295,0238,72,scene-0238-frame-0072,2fdc13e88af84a7fa6540a7bb3f1fbdb
296,0238,84,scene-0238-frame-0084,dc32d152c9814ad391054ea6d4b7b900
297,0238,94,scene-0238-frame-0094,09d3c9ce358149c6b233e8854873a883
298,0238,104,scene-0238-frame-0104,2c5cb2168a5742559d5dc584efad7a76
299,0238,114,scene-0238-frame-0114,59a230d5f9e44b50956e8ea83e35a867
300,0238,124,scene-0238-frame-0124,166e5c0f3a6a47c189cc49f754cb4a43
301,0238,136,scene-0238-frame-0136,9280b7acd088456c867e9765d25ab6ee
302,0238,146,scene-0238-frame-0146,24f60d5e71274a978411bf435a5a6bff
303,0238,156,scene-0238-frame-0156,d5dcbb4cfb7a416a859833e3df9fa745
304,0239,0,scene-0239-frame-0000,04e29be55e294535994efdb1d38d680c
305,0239,10,scene-0239-frame-0010,7f0b675a9f004a21be2c6158a8c0dbd9
306,0239,20,scene-0239-frame-0020,7df161253da1408dadc7a641861d2f8b
307,0239,32,scene-0239-frame-0032,94c6c99cd9f14731bd64a7c45f5c6995
308,0239,42,scene-0239-frame-0042,2ed1ad5a57774c6784ed8a76318cf919
309,0239,52,scene-0239-frame-0052,0023ab7bf8e14d15a7f0d3ca4fd4385a
310,0239,62,scene-0239-frame-0062,8edd35d8ca6140d899162af3e3fcb3bd
311,0239,72,scene-0239-frame-0072,f299c2ea83ea43949f6e425d1ad56895
312,0239,84,scene-0239-frame-0084,3f119012b8e24575aca4a71a81699e51
313,0239,94,scene-0239-frame-0094,f88491f6ec904914a177a3684e60d937
314,0239,104,scene-0239-frame-0104,eaa71a5b2b2241419ff5c631459a8174
315,0239,114,scene-0239-frame-0114,e701ea314beb459c91898e87d019e08f
316,0239,124,scene-0239-frame-0124,cda61acd823846769357cec82a6de3a9
317,0239,136,scene-0239-frame-0136,e30760b8b9834c2a8b6ab5157ab6df2b
318,0239,146,scene-0239-frame-0146,77c7df1148184e589194d2aca4a4a0a7
319,0239,156,scene-0239-frame-0156,576259bfb088453f9b33001ef8fcaad4
320,0240,0,scene-0240-frame-0000,44a0013f55f744b3b84d7002052e7073
321,0240,10,scene-0240-frame-0010,be7cbd29276d46118c56629cc67994f3
322,0240,20,scene-0240-frame-0020,3c5dd0d825114e6b8764225f6c640328
323,0240,32,scene-0240-frame-0032,b1d4ca28aaff46c7be9f8f9f27a7a583
324,0240,42,scene-0240-frame-0042,68a5a4840bfb4605898637e3ed546f2a
325,0240,52,scene-0240-frame-0052,b4ee3def0ef4475da4f72383d960c348
326,0240,62,scene-0240-frame-0062,a1afd6586cbf4cada4140abd980786dd
327,0240,72,scene-0240-frame-0072,e5d8ea2e379c44798d87b66241ff44a5
328,0240,84,scene-0240-frame-0084,a7350ebae4db48d698a01fa6bf841ee4
329,0240,94,scene-0240-frame-0094,816e84f03a524c519912027484416fbb
330,0240,104,scene-0240-frame-0104,80e8999109c44bbcbe36927c3cadf18e
331,0240,114,scene-0240-frame-0114,9cae58dcae4149de8031a300b29d3c00
332,0240,124,scene-0240-frame-0124,32f4580f020c4e15a67d51afe2887bf7
333,0240,136,scene-0240-frame-0136,3c12245df8634f6b96b4f1eb731b2325
334,0240,146,scene-0240-frame-0146,ddb33fe75235443783fc49c5efc2bd97
335,0240,156,scene-0240-frame-0156,2377afdd33da402baa9ca7e7d5f1c028
336,0241,0,scene-0241-frame-0000,7659d38a893f46dc90b61a19c757c9e1
337,0241,10,scene-0241-frame-0010,05df6af3b0d44f428615a6cd4ea2f0e8
338,0241,20,scene-0241-frame-0020,be92316e428b4492b0427e0e664782b2
339,0241,32,scene-0241-frame-0032,afd0fdceae0e4c36adfbbf31eefcc649
340,0241,42,scene-0241-frame-0042,b1c67302e6ad43e5b9fd4080d94da5ba
341,0241,52,scene-0241-frame-0052,7c2d226c53a846df94993f032bf89d65
